ID|Document|Paragraph_Article|Domain|Reference|Main_text|cl100k_base_tokens
353|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 157|IRB Capital requirements and EL calculation|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 2 - Calculation of risk weighted exposure amounts > Sub-Section 3 - Calculation of risk weighted exposure amounts for dilution risk of purchased receivables > Article 157 - Risk weighted exposure amounts for dilution risk of purchased receivables|3. Institutions shall determine the exposure value in accordance with Section 5.|87
354|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 157|IRB Capital requirements and EL calculation|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 2 - Calculation of risk weighted exposure amounts > Sub-Section 3 - Calculation of risk weighted exposure amounts for dilution risk of purchased receivables > Article 157 - Risk weighted exposure amounts for dilution risk of purchased receivables|4. For the purposes of this Article, the value of M is 1 year.|90
355|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 158|IRB Capital requirements and EL calculation|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 3 - Expected loss amounts > Article 158 - Treatment by exposure type|1. The calculation of expected loss amounts shall be based on the same input figures of PD, LGD and the exposure value for each exposure as are used for the calculation of risk-weighted exposure amounts in accordance with Article 151.|85
356|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 158|IRB Capital requirements and EL calculation|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 3 - Expected loss amounts > Article 158 - Treatment by exposure type|2. The expected loss amounts for securitised exposures shall be calculated in accordance with Chapter 5.|60
357|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 158|IRB Capital requirements and EL calculation|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 3 - Expected loss amounts > Article 158 - Treatment by exposure type|3. The expected loss amount for exposures belonging to the ‧other non credit obligations assets‧ exposure class referred to in point (g) of Article 147(2) shall be zero.|78
358|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 158|IRB Capital requirements and EL calculation|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 3 - Expected loss amounts > Article 158 - Treatment by exposure type|4. The expected loss amounts for exposures in the form of shares or units of a CIU referred to in Article 152 shall be calculated in accordance with the methods set out in this Article.|77
359|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 158|IRB Capital requirements and EL calculation|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 3 - Expected loss amounts > Article 158 - Treatment by exposure type|"5. The expected loss (EL) and expected loss amounts for exposures to corporates, institutions, central governments and central banks and retail exposures shall be calculated according to the following formulae:
https://eur-lex.europa.eu/resource.html?uri=uriserv:OJ.L_.2013.176.01.0001.01.ENG.xhtml.FOR-L_2013176EN.01000101.notes.0015.xml.jpg
Expected loss amount=EL [multiplied by] exposure value.
For defaulted exposures (PD = 100 %) where institutions use own estimates of LGDs, EL shall be ELBE, the institution's best estimate of expected loss for the defaulted exposure in accordance with Article 181(1)(h).
For exposures subject to the treatment set out in Article 153(3), EL shall be 0 %."|212
360|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 159|IRB Capital requirements and EL calculation|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 3 - Expected loss amounts > Article 159 - Treatment of expected loss amounts|Institutions shall subtract the expected loss amounts calculated in accordance with Article 158 (5), (6) and (10) from the general and specific credit risk adjustments and additional value adjustments in accordance with Articles 34 and 110 and other own funds reductions related to these exposures. Discounts on balance sheet exposures purchased when in default in accordance with Article 166(1) shall be treated in the same manner as specific credit risk adjustments. Specific credit risk adjustments on exposures in default shall not be used to cover expected loss amounts on other exposures. Expected loss amounts for securitised exposures and general and specific credit risk adjustments related to these exposures shall not be included in this calculation.|173
361|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 160|PD modelling|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 1 - Exposures to corporates, institutions and central governments and central banks > Article 160 - Probability of default (PD)|1. The PD of an exposure to a corporate or an institution shall be at least 0,03 %.|86
362|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 160|LGD modelling|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 1 - Exposures to corporates, institutions and central governments and central banks > Article 160 - Probability of default (PD)|"2. For purchased corporate receivables in respect of which an institution is not able to estimate PDs or institution's PD estimates do not meet the requirements set out in Section 6, the PDs for these exposures shall be determined according to the following methods:
(a)for senior claims on purchased corporate receivables PD shall be the institutions estimate of EL divided by LGD for these receivables;
(b)for subordinated claims on purchased corporate receivables PD shall be the institution's estimate of EL;
(c)an institution that has received the permission of the competent authority to use own LGD estimates for corporate exposures pursuant to Article 143 and that can decompose its EL estimates for purchased corporate receivables into PDs and LGDs in a manner that the competent authority considers to be reliable, may use the PD estimate that results from this decomposition."|238
363|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 160|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 1 - Exposures to corporates, institutions and central governments and central banks > Article 160 - Probability of default (PD)|3. The PD of obligors in default shall be 100 %.|78
364|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 160|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 1 - Exposures to corporates, institutions and central governments and central banks > Article 160 - Probability of default (PD)|"4. Institutions may take into account unfunded credit protection in the PD in accordance with the provisions of Chapter 4. For dilution risk, in addition to the protection providers referred to in Article 201(1)(g) the seller of the purchased receivables is eligible if the following conditions are met:
(a)the corporate entity has a credit assessment by an ECAI which has been determined by EBA to be associated with credit quality step 3 or above under the rules for the risk weighting of exposures to corporates under Chapter 2;
(b)the corporate entity, in the case of institutions calculating risk-weighted exposure amounts and expected loss amounts under the IRB Approach, does not have a credit assessment by a recognised ECAI and is internally rated as having a PD equivalent to that associated with the credit assessments of ECAIs determined by EBA to be associated with credit quality step 3 or above under the rules for the risk weighting of exposures to corporates under Chapter 2."|267
365|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 160|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 1 - Exposures to corporates, institutions and central governments and central banks > Article 160 - Probability of default (PD)|5. Institutions using own LGD estimates may recognise unfunded credit protection by adjusting PDs subject to Article 161(3).|90
366|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 160|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 1 - Exposures to corporates, institutions and central governments and central banks > Article 160 - Probability of default (PD)|6. For dilution risk of purchased corporate receivables, PD shall be set equal to the EL estimate of the institution for dilution risk. An institution that has received permission from the competent authority pursuant to Article 143 to use own LGD estimates for corporate exposures that can decompose its EL estimates for dilution risk of purchased corporate receivables into PDs and LGDs in a manner that the competent authority considers to be reliable, may use the PD estimate that results from this decomposition. Institutions may recognise unfunded credit protection in the PD in accordance with the provisions of Chapter 4. For dilution risk, in addition to the protection providers referred to in Article 201(1)(g), the seller of the purchased receivables is eligible provided that the conditions set out in paragraph 4 are met.|229
367|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 161|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 1 - Exposures to corporates, institutions and central governments and central banks > Article 161 - Loss Given Default (LGD)|"1. Institutions shall use the following LGD values:
(a)senior exposures without eligible collateral: 45 %;
(b)subordinated exposures without eligible collateral: 75 %;
(c)institutions may recognise funded and unfunded credit protection in the LGD in accordance with Chapter 4;
(d)covered bonds eligible for the treatment set out in Article 129(4) or (5) may be assigned an LGD value of 11,25 %;
(e)for senior purchased corporate receivables exposures where an institution is not able to estimate PDs or the institution's PD estimates do not meet the requirements set out in Section 6: 45 %;
(f)for subordinated purchased corporate receivables exposures where an institution is not able to estimate PDs or the institution's PD estimates do not meet the requirements set out in Section 6: 100 %;
(g)For dilution risk of purchased corporate receivables: 75 %."|261
368|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 161|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 1 - Exposures to corporates, institutions and central governments and central banks > Article 161 - Loss Given Default (LGD)|2. For dilution and default risk if an institution has received permission from the competent authority to use own LGD estimates for corporate exposures pursuant to Article 143 and it can decompose its EL estimates for purchased corporate receivables into PDs and LGDs in a manner the competent authority considers to be reliable, the LGD estimate for purchased corporate receivables may be used.|142
369|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 161|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 1 - Exposures to corporates, institutions and central governments and central banks > Article 161 - Loss Given Default (LGD)|3. If an institution has received the permission of the competent authority to use own LGD estimates for exposures to corporates, institutions, central governments and central banks pursuant to Article 143, unfunded credit protection may be recognised by adjusting PD or LGD subject to requirements as specified in Section 6 and permission of the competent authorities. An institution shall not assign guaranteed exposures an adjusted PD or LGD such that the adjusted risk weight would be lower than that of a comparable, direct exposure to the guarantor.|167
370|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 162|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 1 - Exposures to corporates, institutions and central governments and central banks > Article 162 - Maturity|"1. Institutions that have not received permission to use own LGDs and own conversion factors for exposures to corporates, institutions or central governments and central banks shall assign to exposures arising from repurchase transactions or securities or commodities lending or borrowing transactions a maturity value (M) of 0,5 years and to all other exposures an M of 2,5 years.
Alternatively, as part of the permission referred to in Article 143, the competent authorities shall decide on whether the institution shall use maturity (M) for each exposure as set out under paragraph 2."|173
371|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 162|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 1 - Exposures to corporates, institutions and central governments and central banks > Article 162 - Maturity|"2. Institutions that have received the permission of the competent authority to use own LGDs and own conversion factors for exposures to corporates, institutions or central governments and central banks pursuant to Article 143 shall calculate M for each of these exposures as set out in points (a) to (e) of this paragraph and subject to paragraphs 3 to 5 of this Article. M shall be no greater than five years except in the cases specified in Article 384(1) where M as specified there shall be used:
(a)for an instrument subject to a cash flow schedule, M shall be calculated according to the following formula:where CFtdenotes the cash flows (principal, interest payments and fees) contractually payable by the obligor in period t;
(b)for derivatives subject to a master netting agreement, M shall be the weighted average remaining maturity of the exposure, where M shall be at least 1 year, and the notional amount of each exposure shall be used for weighting the maturity;
(c)for exposures arising from fully or nearly-fully collateralised derivative instruments listed in Annex II and fully or nearly-fully collateralised margin lending transactions which are subject to a master netting agreement, M shall be the weighted average remaining maturity of the transactions where M shall be at least 10 days;
(d)for repurchase transactions or securities or commodities lending or borrowing transactions which are subject to a master netting agreement, M shall be the weighted average remaining maturity of the transactions where M shall be at least five days. The notional amount of each transaction shall be used for weighting the maturity;
(e)an institution that has received the permission of the competent authority pursuant to Article 143 to use own PD estimates for purchased corporate receivables, for drawn amounts M shall equal the purchased receivables exposure weighted average maturity, where M shall be at least 90 days. This same value of M shall also be used for undrawn amounts under a committed purchase facility provided the facility contains effective covenants, early amortisation triggers, or other features that protect the purchasing institution against a significant deterioration in the quality of the future receivables it is required to purchase over the facility's term. Absent such effective protections, M for undrawn amounts shall be calculated as the sum of the longest-dated potential receivable under the purchase agreement and the remaining maturity of the purchase facility, where M shall be at least 90 days;
(f)for any other instrument than those mentioned in this paragraph or when an institution is not in a position to calculate M as set out in (a), M shall be the maximum remaining time (in years) that the obligor is permitted to take to fully discharge its contractual obligations, where M shall be at least 1 year;
(g)for institutions using the Internal Model Method set out in Section 6 of Chapter 6 to calculate the exposure values, M shall be calculated for exposures to which they apply this method and for which the maturity of the longest-dated contract contained in the netting set is greater than one year according to the following formula:where:=a dummy variable whose value at future period tkis equal to 0 if tk> 1 year and to 1 if tk≤ 1;=the expected exposure at the future period tk;=the effective expected exposure at the future period tk;=the risk-free discount factor for future time period tk;;
(h)an institution that uses an internal model to calculate a one-sided credit valuation adjustment (CVA) may use, subject to the permission of the competent authorities, the effective credit duration estimated by the internal model as M.Subject to paragraph 2, for netting sets in which all contracts have an original maturity of less than one year the formula in point (a) shall apply;
(i)for institutions using the Internal Model Method set out in Section 6 of Chapter 6, to calculate the exposure values and having an internal model permission for specific risk associated with traded debt positions in accordance with Part Three, Title IV, Chapter 5, M shall be set to 1 in the formula laid out in Article 153(1), provided that an institution can demonstrate to the competent authorities that its internal model for Specific risk associated with traded debt positions applied in Article 383 contains effects of rating migrations;
(j)for the purposes of Article 153(3), M shall be the effective maturity of the credit protection but at least 1 year."|959
372|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 162|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 1 - Exposures to corporates, institutions and central governments and central banks > Article 162 - Maturity|"3. Where the documentation requires daily re-margining and daily revaluation and includes provisions that allow for the prompt liquidation or set off of collateral in the event of default or failure to remargin, M shall be at least one-day for:
(a)fully or nearly-fully collateralised derivative instruments listed in Annex II;
(b)fully or nearly-fully collateralised margin lending transactions;
(c)repurchase transactions, securities or commodities lending or borrowing transactions.
In addition, for qualifying short-term exposures which are not part of the institution's ongoing financing of the obligor, M shall be at least one-day. Qualifying short term exposures shall include the following:
(a)exposures to institutions arising from settlement of foreign exchange obligations;
(b)self-liquidating short-term trade financing transactions connected to the exchange of goods or services with a residual maturity of up to one year as referred to in point (80) of Article 4(1);
(c)exposures arising from settlement of securities purchases and sales within the usual delivery period or two business days;
(d)exposures arising from cash settlements by wire transfer and settlements of electronic payment transactions and prepaid cost, including overdrafts arising from failed transactions that do not exceed a short, fixed agreed number of business days."|318
373|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 162|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 1 - Exposures to corporates, institutions and central governments and central banks > Article 162 - Maturity|4. For exposures to corporates situated in the Union and having consolidated sales and consolidated assets of less than EUR 500 million, institutions may choose to consistently set M as set out in paragraph 1 instead of applying paragraph 2. Institutions may replace EUR 500 million total assets with EUR 1 000 million total assets for corporates which primarily own and let non-speculative residential property.|139
374|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 163|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 2 - Retail exposures > Article 163 - Probability of default (PD)|1. PD of an exposure shall be at least 0,03 %.|67
375|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 163|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 2 - Retail exposures > Article 163 - Probability of default (PD)|2. The PD of obligors or, where an obligation approach is used, of exposures in default shall be 100 %.|77
376|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 163|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 2 - Retail exposures > Article 163 - Probability of default (PD)|3. For dilution risk of purchased receivables PD shall be set equal to EL estimates for dilution risk. If an institution can decompose its EL estimates for dilution risk of purchased receivables into PDs and LGDs in a manner the competent authorities consider to be reliable, the PD estimate may be used.|118
377|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 164|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 2 - Retail exposures > Article 164 - Loss Given Default (LGD)|1. Institutions shall provide own estimates of LGDs subject to requirements as specified in Section 6 and permission of the competent authorities granted in accordance with Article 143. For dilution risk of purchased receivables, an LGD value of 75 % shall be used. If an institution can decompose its EL estimates for dilution risk of purchased receivables into PDs and LGDs in a reliable manner, the institution may use its own LGD estimate.|147
378|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 164|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 2 - Retail exposures > Article 164 - Loss Given Default (LGD)|2. Unfunded credit protection may be recognised as eligible by adjusting PD or LGD estimates subject to requirements as specified in Article 183(1), (2) and (3) and permission of the competent authorities either in support of an individual exposure or a pool of exposures. An institution shall not assign guaranteed exposures an adjusted PD or LGD such that the adjusted risk weight would be lower than that of a comparable, direct exposure to the guarantor.|145
379|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 164|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 2 - Retail exposures > Article 164 - Loss Given Default (LGD)|3. For the purposes of Article 154(2), the LGD of a comparable direct exposure to the protection provider referred to in Article 153(3) shall either be the LGD associated with an unhedged facility to the guarantor or the unhedged facility of the obligor, depending upon whether, in the event both the guarantor and obligor default during the life of the hedged transaction, available evidence and the structure of the guarantee indicate that the amount recovered would depend on the financial condition of the guarantor or obligor, respectively.|167
380|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 164|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 2 - Retail exposures > Article 164 - Loss Given Default (LGD)|"4. The exposure weighted average LGD for all retail exposures secured by residential property and not benefiting from guarantees from central governments shall not be lower than 10 %.
The exposure weighted average LGD for all retail exposures secured by commercial immovable property and not benefiting from guarantees from central governments shall not be lower than 15 %."|118
381|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 164|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 2 - Retail exposures > Article 164 - Loss Given Default (LGD)|"5. Based on the data collected under Article 101 and taking into account forward-looking property market developments and any other relevant indicators, the competent authorities shall periodically, and at least annually, assess whether the minimum LGD values in paragraph 4 of this Article are appropriate for exposures secured by residential or commercial immovable property located in their territory. Competent authorities may, where appropriate on the basis of financial stability considerations, set higher minimum values of exposure weighted average LGD for exposures secured by property in their territory.
Competent authorities shall notify EBA of any changes to the minimum LGD values that they make in accordance with the first subparagraph and EBA shall publish these LGD values."|190
382|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 164|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 2 - Retail exposures > Article 164 - Loss Given Default (LGD)|"6. EBA shall develop draft regulatory technical standards to specify the conditions that competent authorities shall take into account when determining higher minimum LGD values.
EBA shall submit those draft regulatory technical standards to the Commission by 31 December 2014.
Power is delegated to the Commission to adopt the regulatory technical standards referred to in the first subparagraph in accordance with Articles 10 to 14 of Regulation (EU) No 1093/2010."|142
383|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 165|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 3 - Equity exposures subject to PD/LGD method > Article 165 - Equity exposures subject to the PD/LGD method|"1. PDs shall be determined according to the methods for corporate exposures.
The following minimum PDs shall apply:
(a)0,09 % for exchange traded equity exposures where the investment is part of a long-term customer relationship;
(b)0,09 % for non-exchange traded equity exposures where the returns on the investment are based on regular and periodic cash flows not derived from capital gains;
(c)0,40 % for exchange traded equity exposures including other short positions as set out in Article 155(2);
(d)1,25 % for all other equity exposures including other short positions as set out in Article 155(2)."|190
384|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 165|Other|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 4 - PD, LGD and maturity > Sub-Section 3 - Equity exposures subject to PD/LGD method > Article 165 - Equity exposures subject to the PD/LGD method|2. Private equity exposures in sufficiently diversified portfolios may be assigned an LGD of 65 %. All other such exposures shall be assigned an LGD of 90 %.|94
385|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 166|Exposure value|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 5 - Exposure value > Article 166 - Exposures to corporates, institutions, central governments and central banks and retail exposures|"1. Unless noted otherwise, the exposure value of on-balance sheet exposures shall be the accounting value measured without taking into account any credit risk adjustments made.
This rule also applies to assets purchased at a price different than the amount owed.
For purchased assets, the difference between the amount owed and the accounting value remaining after specific credit risk adjustments have been applied that has been recorded on the balance-sheet of the institutions when purchasing the asset is denoted discount if the amount owed is larger, and premium if it is smaller."|153
386|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 166|Exposure value|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 5 - Exposure value > Article 166 - Exposures to corporates, institutions, central governments and central banks and retail exposures|2. Where institutions use Master netting agreements in relation to repurchase transactions or securities or commodities lending or borrowing transactions, the exposure value shall be calculated in accordance with Chapter 4 or 6.|90
387|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 166|Exposure value|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 5 - Exposure value > Article 166 - Exposures to corporates, institutions, central governments and central banks and retail exposures|3. In order to calculate the exposure value for on-balance sheet netting of loans and deposits, institutions shall apply the methods set out in Chapter 4.|83
388|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 166|Exposure value|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 5 - Exposure value > Article 166 - Exposures to corporates, institutions, central governments and central banks and retail exposures|4. The exposure value for leases shall be the discounted minimum lease payments. Minimum lease payments shall comprise the payments over the lease term that the lessee is or can be required to make and any bargain option (i.e. option the exercise of which is reasonably certain). If a party other than the lessee may be required to make a payment related to the residual value of a leased asset and this payment obligation fulfils the set of conditions in Article 201 regarding the eligibility of protection providers as well as the requirements for recognising other types of guarantees provided in Article 213, the payment obligation may be taken into account as unfunded credit protection in accordance with Chapter 4.|187
389|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 166|Exposure value|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 5 - Exposure value > Article 166 - Exposures to corporates, institutions, central governments and central banks and retail exposures|5. In the case of any contract listed in Annex II, the exposure value shall be determined by the methods set out in Chapter 6 and shall not take into account any credit risk adjustment made.|90
390|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 166|Exposure value|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 5 - Exposure value > Article 166 - Exposures to corporates, institutions, central governments and central banks and retail exposures|6. The exposure value for the calculation of risk weighted exposure amounts of purchased receivables shall be the value determined in accordance with paragraph 1 minus the own funds requirements for dilution risk prior to credit risk mitigation.|94
391|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 166|Exposure value|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 5 - Exposure value > Article 166 - Exposures to corporates, institutions, central governments and central banks and retail exposures|7. Where an exposure takes the form of securities or commodities sold, posted or lent under repurchase transactions or securities or commodities lending or borrowing transactions, long settlement transactions and margin lending transactions, the exposure value shall be the value of the securities or commodities determined in accordance with Article 24. Where the Financial Collateral Comprehensive Method as set out under Article 223 is used, the exposure value shall be increased by the volatility adjustment appropriate to such securities or commodities, as set out therein. The exposure value of repurchase transactions, securities or commodities lending or borrowing transactions, long settlement transactions and margin lending transactions may be determined either in accordance with Chapter 6 or Article 220(2).|187
392|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 166|Exposure value|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 5 - Exposure value > Article 166 - Exposures to corporates, institutions, central governments and central banks and retail exposures|"8. The exposure value for the following items shall be calculated as the committed but undrawn amount multiplied by a conversion factor. Institutions shall use the following conversion factors in accordance with Article 151(8) for exposures to corporates, institutions, central governments and central banks:
(a)for credit lines that are unconditionally cancellable at any time by the institution without prior notice, or that effectively provide for automatic cancellation due to deterioration in a borrower's credit worthiness, a conversion factor of 0 % shall apply. To apply a conversion factor of 0 %, institutions shall actively monitor the financial condition of the obligor, and their internal control systems shall enable them to immediately detect deterioration in the credit quality of the obligor. Undrawn credit lines may be considered as unconditionally cancellable if the terms permit the institution to cancel them to the full extent allowable under consumer protection and related legislation;
(b)for short-term letters of credit arising from the movement of goods, a conversion factor of 20 % shall apply for both the issuing and confirming institutions;
(c)for undrawn purchase commitments for revolving purchased receivables that are able to be unconditionally cancelled or that effectively provide for automatic cancellation at any time by the institution without prior notice, a conversion factor of 0 % shall apply. To apply a conversion factor of 0 %, institutions shall actively monitor the financial condition of the obligor, and their internal control systems shall enable them to immediately detect a deterioration in the credit quality of the obligor;
(d)for other credit lines, note issuance facilities (NIFs), and revolving underwriting facilities (RUFs), a conversion factor of 75 % shall apply;
(e)institutions which meet the requirements for the use of own estimates of conversion factors as specified in Section 6 may use their own estimates of conversion factors across different product types as mentioned in points (a) to (d), subject to permission of the competent authorities."|443
393|Capital Requirements Regulation (CRR): REGULATION (EU) No 575/2013|Article 166|Exposure value|TITLE II - CAPITAL REQUIREMENTS FOR CREDIT RISK > CHAPTER 3 - Internal Ratings Based Approach > Section 5 - Exposure value > Article 166 - Exposures to corporates, institutions, central governments and central banks and retail exposures|9. Where a commitment refers to the extension of another commitment, the lower of the two conversion factors associated with the individual commitment shall be used.|79
